Species,Genus
Heterotrissocladius_marcidus,Heterotrissocladius
Molanna_spp,Molanna
Lioporeus_triangularis,Lioporeus
Demicryptochironomus_sp_C,Demicryptochironomus
Laccophilus_maculosus_maculosus,Laccophilus
Hydroporus_spp,Hydroporus
Sphaeromias_spp,Sphaeromias
Epiphragma_spp,Epiphragma
Oulimnius_spp,Oulimnius
Isoperla_slossonae,Isoperla
Micrasema_charonis,Micrasema
Paratendipes_subaequalis,Paratendipes
Neoplea_spp,Neoplea
Apsectrotanypus_johnsoni,Apsectrotanypus
Stempellinella_fimbriata,Stempellinella
Iswaeon_davidi,Iswaeon
Tropisternus_blatchleyi,Tropisternus
Thienemanniella_sp_B,Thienemanniella
Libellulidae,Libellulidae
Chlorotabanus_crepuscularis,Chlorotabanus
Tanypodinae,Tanypodinae
Fossaria_spp,Fossaria
Ablabesmyia_spp,Ablabesmyia
Stenacron_spp,Stenacron
Tanytarsus_sp_T,Tanytarsus
Ameletus_tertius,Ameletus
Trissopelopia_ogemawi,Trissopelopia
Eukiefferiella_tirolensis,Eukiefferiella
Cyrnellus_fraternus,Cyrnellus
Brundiniella_eumorpha,Brundiniella
Pristina_spp,Pristina
Diploperla_kanawholensis_morgani,Diploperla
Orthocladius_vaillanti,Orthocladius
Erpobdella_punctata,Erpobdella
Rhithrogena_fuscifrons,Rhithrogena
Guttipelopia_guttipennis,Guttipelopia
Congeria_leucophaeta,Congeria
Sparbarus_maculatus,Sparbarus
Acroneuria_evoluta,Acroneuria
Hydropsychidae,Hydropsychidae
Eurylophella_minimella,Eurylophella
Isochaetides_curvisetosus,Isochaetides
Orthocladius_rubicundus,Orthocladius
Limonia_spp,Limonia
Pristinella_spp,Pristinella
Triaenodes_marginatus,Triaenodes
Palmacorixa_spp,Palmacorixa
Nanocladius_alternantherae,Nanocladius
Boyeria_grafiana,Boyeria
Tropisternus_spp,Tropisternus
Helocordulia_spp,Helocordulia
Orconectes_spp,Orconectes
Gonielmis_dietrichi,Gonielmis
Brachycercus_nitidus,Brachycercus
Helophorus_spp,Helophorus
Acroneuria_lycorias,Acroneuria
Bidessonotus_spp,Bidessonotus
Corynoneura_floridaensis,Corynoneura
Agabus_spp,Agabus
Goera_calcarata,Goera
Ranatra_nigra,Ranatra
Gerridae,Gerridae
Desserobdella_phalera,Desserobdella
Hydrovatus_pustulatus,Hydrovatus
Optioservus_immunis,Optioservus
Ceraclea_neffi,Ceraclea
Ameletus_lineatus,Ameletus
Climacia_spp,Climacia
Micrasema_spp,Micrasema
Didymops_transversa,Didymops
Litobrancha_recurvata,Litobrancha
Chaetocladius_spp,Chaetocladius
Parakiefferiella_sp_D,Parakiefferiella
Drunella_longicornis,Drunella
Mooreobdella_microstoma,Mooreobdella
Sphaeriidae,Sphaeriidae
Cladotanytarsus_spp,Cladotanytarsus
Chironomini,Chironomini
Tubifex_tubifex,Tubifex
Isoperla_davisi,Isoperla
Eurylophella_oviruptis,Eurylophella
Cladopelma_spp,Cladopelma
Xestochironomus_spp,Xestochironomus
Limnephilidae,Limnephilidae
Hydroptilidae,Hydroptilidae
Rangia_cuneata,Rangia
Copelatus_spp,Copelatus
Neoephemera_spp,Neoephemera
Soyedina_spp,Soyedina
Planorbula_armigera,Planorbula
Pseudorthocladius_spp,Pseudorthocladius
Rheocricotopus_eminellobus,Rheocricotopus
Dugesia_tigrina,Dugesia
Goera_fuscula,Goera
Boyeria_spp,Boyeria
Beloneuria_spp,Beloneuria
Endochironomus_nigricans,Endochironomus
Chauliodes_rastricornis,Chauliodes
Ameletus_spp,Ameletus
Rheocricotopus_tuberculatus,Rheocricotopus
Shipsa_rotunda,Shipsa
Drunella_wayah,Drunella
Simulium_venustum,Simulium
Psectrocladius_sordidellus_gr,Psectrocladius
Tanytarsus_buckleyi,Tanytarsus
Oecetis_avara,Oecetis
Nilothauma_spp,Nilothauma
Syrphidae,Syrphidae
Oecetis_cinerascens,Oecetis
Agnetina_capitata,Agnetina
Mooreobdella_melanostoma,Mooreobdella
Ceraclea_ophioderus,Ceraclea
Parakiefferiella_sp_E,Parakiefferiella
Rheocricotopus_glabricollis,Rheocricotopus
Ceraclea_flava,Ceraclea
Oecetis_nocturna,Oecetis
Oulimnius_nitidulus,Oulimnius
Cordulegaster_maculata,Cordulegaster
Baetis_brunneicolor,Baetis
Orthocladius_annectens,Orthocladius
Taeniopteryx_spp,Taeniopteryx
Neurocordulia_obsoleta,Neurocordulia
Chaoborus_spp,Chaoborus
Cultus_spp,Cultus
Placobdella_papillifera,Placobdella
Rhyacophila_formosa,Rhyacophila
Anthopotamus_spp,Anthopotamus
Eukiefferiella_spp,Eukiefferiella
Bittacomorpha_clavipes,Bittacomorpha
Slavina_appendiculata,Slavina
Molanna_blenda,Molanna
Molanna_tryphena,Molanna
Callibaetis_spp,Callibaetis
Dannella_lita,Dannella
Dromogomphus_spp,Dromogomphus
Triaenodes_taenius,Triaenodes
Coelotanypus_spp,Coelotanypus
Eukiefferiella_brevicalcar_gr,Eukiefferiella
Limnophila_spp,Limnophila
Promoresia_spp,Promoresia
Wormaldia_spp,Wormaldia
Orthocladius_dentifer,Orthocladius
Cymbiodyta_spp,Cymbiodyta
Acroneuria_filicis,Acroneuria
Paragnetina_spp,Paragnetina
Hydropsyche_H_scalaris,Hydropsyche
Hetaerina_titia,Hetaerina
Cladotanytarsus_sp_F,Cladotanytarsus
Lanthus_parvulus,Lanthus
Forcipomyia_spp,Forcipomyia
Attenella_attenuata,Attenella
Orthocladius_lignicola,Orthocladius
Limnophyes_spp,Limnophyes
Gomphidae,Gomphidae
Cordulegaster_erronea,Cordulegaster
Hydrocanthus_spp,Hydrocanthus
Dicrotendipes_spp,Dicrotendipes
Omisus_spp,Omisus
Dannella_provonshai,Dannella
Cricotopus_spp,Cricotopus
Orthocladiinae,Orthocladiinae
Pelocoris_spp,Pelocoris
Corduliidae,Corduliidae
Naididae,Naididae
Micropsectra_dives_geminata,Micropsectra
Placobdella_parasitica,Placobdella
Ephemerella_needhami,Ephemerella
Heterocloeon_amplum,Heterocloeon
Strophopteryx_spp,Strophopteryx
Caecidotea_forbesi,Caecidotea
Xenochironomus_xenolabis,Xenochironomus
Paracloeodes_minutus,Paracloeodes
Ceraclea_enodis,Ceraclea
Neophylax_fuscus,Neophylax
Glossiphoniidae,Glossiphoniidae
Ablabesmyia_peleensis,Ablabesmyia
Endochironomus_subtendens,Endochironomus
Nanocladius_branchicolus,Nanocladius
Demicryptochironomus_spp,Demicryptochironomus
